country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
India,2020-02-24,1.0,0,1263930000,,
India,2020-02-25,1.0,0,1263930000,,
India,2020-02-26,0.7142857142857143,0,1263930000,,
India,2020-02-27,0.8571428571428571,0,1263930000,,
India,2020-02-28,0.14285714285714285,0,1263930000,,
India,2020-02-29,0.0,0,1263930000,,
India,2020-03-01,0.0,0,1263930000,,
India,2020-03-02,0.0,0,1263930000,,
India,2020-03-03,0.0,0,1263930000,,
India,2020-03-04,0.14285714285714285,0,1263930000,,
India,2020-03-05,0.14285714285714285,0,1263930000,,
India,2020-03-06,0.2857142857142857,0,1263930000,,
India,2020-03-07,0.2857142857142857,0,1263930000,,
India,2020-03-08,0.14285714285714285,0,1263930000,,
India,2020-03-09,0.5714285714285714,0,1263930000,,0.0
India,2020-03-10,2.142857142857143,0,1263930000,,0.0
India,2020-03-11,2.2857142857142856,1,1263930000,inf,0.0
India,2020-03-12,2.2857142857142856,1,1263930000,0.0,0.0
India,2020-03-13,2.2857142857142856,2,1263930000,1.0,0.2
India,2020-03-14,2.857142857142857,2,1263930000,0.0,0.0
India,2020-03-15,3.2857142857142856,2,1263930000,0.0,0.7142857142857143
India,2020-03-16,3.2857142857142856,2,1263930000,0.0,0.8571428571428571
India,2020-03-17,2.142857142857143,3,1263930000,0.5,1.0
India,2020-03-18,2.5714285714285716,3,1263930000,0.0,1.0
India,2020-03-19,3.2857142857142856,4,1263930000,0.33333333333333326,1.0
India,2020-03-20,4.142857142857143,5,1263930000,0.25,0.7142857142857143
India,2020-03-21,4.714285714285714,4,1263930000,-0.19999999999999996,0.8571428571428571
India,2020-03-22,7.285714285714286,7,1263930000,0.75,0.14285714285714285
India,2020-03-23,9.714285714285714,10,1263930000,0.4285714285714286,0.0
India,2020-03-24,12.857142857142858,10,1263930000,0.0,0.0
India,2020-03-25,16.571428571428573,12,1263930000,0.19999999999999996,0.0
India,2020-03-26,20.142857142857142,20,1263930000,0.6666666666666667,0.0
India,2020-03-27,23.571428571428573,20,1263930000,0.0,0.14285714285714285
India,2020-03-28,26.571428571428573,24,1263930000,0.19999999999999996,0.14285714285714285
India,2020-03-29,26.714285714285715,27,1263930000,0.125,0.2857142857142857
India,2020-03-30,28.142857142857142,32,1263930000,0.18518518518518512,0.2857142857142857
India,2020-03-31,28.714285714285715,35,1263930000,0.09375,0.14285714285714285
India,2020-04-01,28.571428571428573,58,1263930000,0.6571428571428573,0.5714285714285714
India,2020-04-02,28.571428571428573,72,1263930000,0.24137931034482762,2.142857142857143
